"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.682875001E-3,1.375245303E-1,4.879355431E-3,1.178473979E-1
1.261487500E-2,1.177934259E-1,6.332111079E-4,1.245814636E-1
2.254787500E-2,1.042199135E-1,-7.113263011E-3,1.178369820E-1
3.247987500E-2,9.606265277E-2,-7.567864843E-3,1.051225215E-1
4.241187500E-2,8.863605559E-2,-2.161900140E-2,9.243102372E-2
5.234387500E-2,7.912378013E-2,-1.602716371E-2,8.092775941E-2
6.227687500E-2,7.504622638E-2,2.383973217E-3,6.499829888E-2
7.220887500E-2,5.927152932E-2,3.058951162E-2,4.574310780E-2
8.214087500E-2,3.504722565E-2,4.667951539E-2,2.698223479E-2
9.207387500E-2,2.826575376E-2,4.439372569E-2,2.122425707E-3
1.020058750E-1,2.568919212E-2,-2.508339472E-3,7.850173861E-2
1.119378750E-1,1.190626808E-2,1.253985148E-2,1.656753197E-2
1.218698750E-1,1.766706072E-2,5.576298758E-2,-3.835542873E-2
1.318028750E-1,2.002608962E-2,3.787027299E-2,-8.502759784E-2
1.417348750E-1,1.781522855E-2,3.477450460E-2,-1.194609404E-1
1.516668750E-1,2.257296629E-2,2.220918238E-2,-1.435303241E-1
1.615998750E-1,3.830477223E-2,2.354609314E-3,-1.637849659E-1
1.715318750E-1,6.305086613E-2,-3.411152214E-2,-1.643338501E-1
1.814638750E-1,8.582159877E-2,-3.595881909E-2,-1.644270271E-1
1.913958750E-1,1.145445853E-1,-2.414530329E-2,-1.636286080E-1
2.013288750E-1,1.442820877E-1,-1.235627942E-2,-1.698120087E-1
2.112608750E-1,1.679597199E-1,3.137192689E-3,-1.761745661E-1
2.211928750E-1,1.846430898E-1,1.958516985E-2,-1.822670698E-1
2.311258750E-1,1.970936358E-1,1.677420177E-2,-1.809687763E-1
2.410578750E-1,2.190612704E-1,9.873829782E-3,-1.723122299E-1
2.509898750E-1,2.254291475E-1,1.675384119E-2,-1.584459543E-1
2.609218750E-1,2.351150662E-1,1.712854579E-2,-1.464388222E-1
2.708548750E-1,2.399348617E-1,2.408525720E-2,-1.360343844E-1
2.807873333E-1,2.446085364E-1,2.606411465E-2,-1.289858073E-1
2.907193333E-1,2.461829931E-1,1.758407801E-2,-1.242896020E-1
3.006523333E-1,2.489013523E-1,1.551030902E-3,-1.289048195E-1
3.105843333E-1,2.564410567E-1,-1.098793000E-2,-1.280243844E-1
3.205163333E-1,2.508474886E-1,-2.452437580E-2,-1.231584996E-1
3.304483333E-1,2.390036285E-1,-3.020516410E-2,-1.176526770E-1
3.403813333E-1,2.204490900E-1,-1.993020624E-2,-1.170595065E-1
3.503133333E-1,1.986524612E-1,-9.957200848E-3,-1.099448726E-1
3.602453333E-1,1.752192080E-1,1.194803044E-3,-9.855775535E-2
3.701773333E-1,1.563483179E-1,8.814372122E-3,-8.740763366E-2
3.801103333E-1,1.309457272E-1,4.100525752E-3,-7.269011438E-2
