"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.019583357E-4,2.242337036E-1,3.291505280E0,9.149573364E0
1.033495833E-2,1.522334290E-1,3.217109985E0,9.236542511E0
2.026795833E-2,3.038681030E-2,3.234473877E0,9.317673798E0
3.020095834E-2,2.649490356E-2,3.298540649E0,9.332043915E0
4.013495833E-2,4.206253052E-2,3.321592712E0,9.293873291E0
5.006795833E-2,3.323089600E-2,3.318449249E0,9.207802277E0
6.000095833E-2,6.526428223E-2,3.295397186E0,9.188642120E0
6.993395833E-2,1.008901978E-1,3.322790222E0,9.126820679E0
7.986795833E-2,8.592132568E-2,3.346740417E0,9.087602234E0
8.980095833E-2,6.107299805E-2,3.354973297E0,9.109905853E0
9.973395833E-2,5.373825073E-2,3.350033569E0,9.157357178E0
1.096679583E-1,6.556365967E-2,3.359763336E0,9.114695892E0
1.196009583E-1,6.511459351E-2,3.360362091E0,9.126221924E0
1.295339583E-1,9.310638428E-2,3.371738434E0,9.149273987E0
1.394669583E-1,1.133143616E-1,3.376229095E0,9.149124298E0
1.494009583E-1,1.246907043E-1,3.389401703E0,9.128018188E0
1.593339583E-1,1.128652954E-1,3.393892365E0,9.169931030E0
1.692669583E-1,1.103205872E-1,3.375929718E0,9.194330292E0
1.791999583E-1,1.157093811E-1,3.375031586E0,9.205407257E0
1.891339583E-1,5.433700562E-2,3.352727966E0,9.199569397E0
1.990669583E-1,3.592529297E-2,3.307971039E0,9.258247375E0
2.089999583E-1,9.595046997E-2,3.283422089E0,9.316326599E0
2.189339583E-1,1.187031555E-1,3.283871155E0,9.287286987E0
2.288669583E-1,7.738906860E-2,3.279081116E0,9.266779633E0
2.387999583E-1,5.254074097E-2,3.289259949E0,9.265282745E0
2.487329583E-1,5.867797852E-2,3.314856720E0,9.244625702E0
2.586669583E-1,5.269042969E-2,3.334166565E0,9.220376129E0
2.685999583E-1,4.146377563E-2,3.354973297E0,9.222322083E0
2.785329583E-1,6.915618896E-2,3.378923492E0,9.226064301E0
2.884669583E-1,7.664062500E-2,3.379522247E0,9.231902161E0
2.983999583E-1,-1.975891113E-2,3.368445282E0,9.220974884E0
3.083329583E-1,-4.535568237E-1,3.315156097E0,9.312135315E0
3.182659583E-1,1.811233521E-1,3.241359558E0,9.223070526E0
3.281999583E-1,4.125421143E-1,3.137176208E0,9.050479431E0
3.381329583E-1,1.368154907E-1,3.148253174E0,9.186396790E0
3.480659583E-1,-7.020401001E-2,3.254532166E0,9.142837372E0
3.579992083E-1,-5.463638306E-2,3.294948120E0,9.156159668E0
