"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.358079167E-2,3.138486296E-2,1.548770666E-1,-1.016001124E-2
2.351379167E-2,7.457425818E-3,1.555937231E-1,-1.527907560E-3
3.344579167E-2,8.793949150E-3,1.481916755E-1,1.936701126E-2
4.337779167E-2,1.727398671E-2,1.419228613E-1,4.196286574E-2
5.330979167E-2,1.297742501E-2,1.336950809E-1,6.043142080E-2
6.324179167E-2,1.207408123E-2,1.194948405E-1,7.157328725E-2
7.317379167E-2,6.566878408E-3,1.012451947E-1,7.617799938E-2
8.310579167E-2,1.074537821E-2,7.848528773E-2,7.191827893E-2
9.303879167E-2,1.292819902E-2,5.829843134E-2,6.371174008E-2
1.029707917E-1,5.727011245E-3,4.106378555E-2,4.957487807E-2
1.129027917E-1,-1.532810926E-2,3.962260857E-2,4.102014005E-2
1.228347917E-1,-2.893233486E-2,3.603613004E-2,4.015807435E-2
1.327667917E-1,-2.337665297E-2,3.292533383E-2,4.623055831E-2
1.426987917E-1,4.413279239E-4,3.660235927E-2,4.879624769E-2
1.526307917E-1,1.707275957E-2,4.730909690E-2,4.376335070E-2
1.625637917E-1,1.465434209E-2,5.144445226E-2,4.010709748E-2
1.724957917E-1,7.750471123E-3,5.628804490E-2,3.420412168E-2
1.824277917E-1,-3.868101165E-3,5.731362477E-2,2.959765308E-2
1.923597917E-1,-1.885940880E-2,5.260905251E-2,2.420083433E-2
2.022917917E-1,-3.148625419E-2,6.017349660E-2,1.930434629E-2
2.122237917E-1,-2.792762220E-2,5.984146893E-2,2.096054517E-2
2.221557917E-1,-1.493139565E-2,5.612609163E-2,2.568339556E-2
2.320887917E-1,1.806656830E-2,5.347277969E-2,3.322369233E-2
2.420207917E-1,4.206005111E-2,5.403923243E-2,2.367599308E-2
2.519527917E-1,3.998134658E-2,5.204283074E-2,1.166468114E-2
2.618847917E-1,1.391432527E-2,5.774119869E-2,3.110929392E-4
2.718167917E-1,3.845436499E-3,6.293626130E-2,-5.257098936E-3
2.817487917E-1,8.070275187E-3,4.648803920E-2,-3.019244876E-3
2.916807917E-1,1.883087121E-2,3.154974431E-2,-3.267995082E-3
3.016137917E-1,2.689359151E-2,2.665751614E-2,-1.257547736E-2
3.115457917E-1,2.798293158E-2,2.504826710E-2,-2.185960114E-2
3.214777917E-1,3.236809000E-2,2.315768600E-2,-2.984029427E-2
3.314097917E-1,2.811122872E-2,2.057762071E-2,-2.820413560E-2
3.413417917E-1,3.347590193E-2,2.003699914E-2,-3.077914938E-2
3.512737917E-1,3.927413747E-2,1.945136860E-2,-2.809734270E-2
3.612057917E-1,5.642356351E-2,1.028769929E-2,-1.860637218E-2
3.711387917E-1,6.618597358E-2,4.943796434E-3,-8.733678609E-3
3.810707917E-1,6.872396916E-2,-2.476569731E-3,4.896465689E-4
3.910027917E-1,5.606029928E-2,-1.268576272E-2,6.235006265E-3
4.009347917E-1,3.224418312E-2,-1.160345506E-2,8.628655225E-3
4.108667917E-1,2.334697545E-2,-4.865192343E-3,9.762917645E-3
4.207986250E-1,2.991699427E-2,-5.579185672E-3,1.355499215E-2
4.307316250E-1,3.693286702E-2,-1.807303913E-2,2.524344064E-2
4.406636250E-1,3.786443919E-2,-3.202986717E-2,3.395650163E-2
4.505956250E-1,3.396185488E-2,-4.457338527E-2,4.042191803E-2
4.605276250E-1,2.416754700E-2,-5.669662729E-2,3.953082487E-2
4.704596250E-1,1.309905760E-2,-5.127367005E-2,3.355439007E-2
4.803916250E-1,2.308194526E-3,-4.205646738E-2,1.741163805E-2
4.903236250E-1,-1.518637687E-2,-3.856692836E-2,2.017502207E-3
5.002556250E-1,-2.046662569E-2,-3.045041487E-2,-1.213453617E-2
5.101886250E-1,-1.169779431E-2,-1.233975403E-2,-1.489018556E-2
5.201206250E-1,1.554026385E-4,-6.210471038E-4,-1.305420231E-2
5.300526250E-1,1.650384255E-2,8.910312317E-3,-6.994189695E-3
5.399846250E-1,2.833120711E-2,1.155882608E-2,-7.493435405E-4
5.499166250E-1,2.475757711E-2,4.820492119E-3,-6.056136917E-3
5.598486250E-1,1.560562477E-2,6.305470131E-3,-1.272921916E-2
5.697816250E-1,1.199391950E-2,8.809341118E-3,-1.528331265E-2
5.797136250E-1,8.073116769E-4,7.550198585E-3,-1.217700168E-2
5.896456250E-1,-5.828710739E-3,7.403293159E-3,-7.686279714E-3
5.995776250E-1,-1.411779970E-2,3.877267707E-3,-8.930885233E-4
6.095096250E-1,-2.104642056E-2,4.901131615E-5,-8.384585381E-4
6.194416250E-1,-1.295120921E-2,-6.500685122E-4,-2.886163071E-3
6.293736250E-1,-1.360084768E-2,8.398115635E-3,1.353065949E-3
6.393066250E-1,-7.902481593E-3,1.101626921E-2,7.235988975E-3
6.492386250E-1,3.128650133E-4,-6.844842806E-3,1.008654200E-2
6.591706250E-1,-3.089855891E-3,-1.599839330E-2,1.374972053E-2
6.691026250E-1,-1.159564592E-2,-3.403499722E-2,1.483684033E-2
6.790346250E-1,-2.096943930E-2,-4.688581824E-2,1.158325560E-2
6.889666250E-1,-2.217255346E-2,-4.860900342E-2,3.974650986E-3
6.988986250E-1,-1.919114403E-2,-5.580513179E-2,-3.786599264E-3
7.088316250E-1,-4.343241919E-3,-6.774456054E-2,-1.025979221E-2
7.187636250E-1,7.428728975E-3,-6.733469665E-2,-2.761188522E-2
7.286956250E-1,2.321295440E-2,-4.593938962E-2,-5.582097173E-2
7.386276250E-1,2.610701136E-2,-1.580705121E-2,-6.834422052E-2
7.485596250E-1,3.119512834E-2,-6.257024128E-3,-6.086391583E-2
7.584916250E-1,2.704379335E-2,-4.398670048E-3,-4.735343158E-2
7.684236250E-1,6.733312272E-3,1.816103607E-2,-3.143973276E-2
7.783566250E-1,-1.876032911E-2,2.779421955E-2,-6.828130689E-3
7.882886250E-1,-2.269903757E-2,2.510639094E-2,1.340249367E-2
7.982206250E-1,-2.055332996E-2,2.654210106E-2,2.388762496E-2
8.081526250E-1,-1.743902825E-2,2.721747756E-2,2.685145847E-2
8.180846250E-1,-1.291325223E-2,3.001912311E-2,2.565569803E-2
8.280166250E-1,-1.259223372E-2,3.246799856E-2,2.538371086E-2
8.379486250E-1,-1.439572684E-2,3.692959249E-2,2.720797621E-2
8.478816250E-1,-1.407906786E-2,4.066464305E-2,2.837875858E-2
8.578136250E-1,-2.433569916E-2,4.545087740E-2,2.837449685E-2
8.677456250E-1,-2.806508169E-2,4.778150842E-2,2.277752012E-2
8.776776250E-1,-3.048696183E-2,4.311778024E-2,9.864117950E-3
8.876096250E-1,-2.170270681E-2,4.128625989E-2,-8.293646388E-3
8.975416250E-1,-6.320022047E-3,3.656234592E-2,-1.517791767E-2
9.074736250E-1,2.833080012E-3,2.567794174E-2,-1.628931984E-2
9.174066250E-1,5.936195608E-3,1.121085230E-2,-6.959201768E-3
9.273386250E-1,-1.376597327E-3,5.306683946E-3,5.938108079E-3
9.372706250E-1,-1.181778684E-2,-7.195792161E-3,1.501149870E-2
9.472026250E-1,-2.924485318E-2,-2.432014793E-2,2.384603582E-2
9.571346250E-1,-4.975279048E-2,-3.430699930E-2,2.336453646E-2
9.670666250E-1,-6.207963824E-2,-4.633406550E-2,1.889552176E-2
