"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.564136600E-2,-4.182653904E0,4.685146809E0,8.293522835E0
1.797423100E-2,-4.058227062E0,4.685146809E0,8.307880402E0
2.030714800E-2,-3.905086517E0,4.670789719E0,8.346165657E0
2.263996000E-2,-3.751945972E0,4.599005222E0,8.422736168E0
2.497292900E-2,-3.622733593E0,4.584648132E0,8.532805443E0
2.730584600E-2,-3.464807272E0,4.599005222E0,8.666803360E0
2.963876200E-2,-3.330809116E0,4.584648132E0,8.800801277E0
3.197162700E-2,-3.192025423E0,4.555934429E0,8.891729355E0
3.430454300E-2,-3.058027267E0,4.503292084E0,9.001798630E0
3.663746000E-2,-2.947957516E0,4.469792843E0,9.092725754E0
3.897032500E-2,-2.847458839E0,4.412364960E0,9.193224907E0
4.130324100E-2,-2.780459881E0,4.350151539E0,9.265008926E0
4.363610600E-2,-2.703889608E0,4.287938118E0,9.332008362E0
4.596902300E-2,-2.641676188E0,4.211368084E0,9.384650230E0
4.830193900E-2,-2.569891453E0,4.144368649E0,9.408578873E0
5.063485600E-2,-2.522035122E0,4.082155228E0,9.432506561E0
5.296772100E-2,-2.502892494E0,4.029513359E0,9.456435204E0
5.530063700E-2,-2.488535643E0,4.015156269E0,9.509077072E0
5.763355400E-2,-2.483749866E0,3.976871252E0,9.561718941E0
5.996647100E-2,-2.498106956E0,3.957728624E0,9.614361763E0
6.229933500E-2,-2.526820660E0,3.933800459E0,9.657432556E0
6.463225200E-2,-2.565105915E0,3.938585997E0,9.714859962E0
6.696516800E-2,-2.617748022E0,3.938585997E0,9.753145218E0
6.929803300E-2,-2.656033039E0,3.948157310E0,9.777072906E0
7.163095000E-2,-2.727817774E0,4.010370731E0,9.810572624E0
7.396386600E-2,-2.785245657E0,4.043870449E0,9.834501266E0
7.629673100E-2,-2.871387243E0,4.096512318E0,9.839286804E0
7.862964800E-2,-2.919243574E0,4.125226021E0,9.834501266E0
8.096256400E-2,-2.947957516E0,4.163511276E0,9.815358162E0
8.329542900E-2,-2.967100143E0,4.177868366E0,9.777072906E0
8.562834600E-2,-2.947957516E0,4.177868366E0,9.724431038E0
8.796126200E-2,-2.943171740E0,4.182653904E0,9.690931320E0
9.029417900E-2,-2.943171740E0,4.163511276E0,9.643074989E0
9.262704300E-2,-2.933600664E0,4.144368649E0,9.623932838E0
9.495996000E-2,-2.924029350E0,4.082155228E0,9.595218658E0
9.729287700E-2,-2.876172781E0,3.981656790E0,9.576076508E0
9.962574100E-2,-2.837887764E0,3.881158352E0,9.533005714E0
1.019586580E-1,-2.790031195E0,3.780659676E0,9.480362892E0
1.042915750E-1,-2.708675146E0,3.656233072E0,9.403793335E0
1.066244390E-1,-2.617748022E0,3.517449379E0,9.346364975E0
1.089573560E-1,-2.555534601E0,3.383451223E0,9.317651749E0
1.112902730E-1,-2.512463808E0,3.273381472E0,9.260223389E0
1.136231370E-1,-2.483749866E0,3.177668571E0,9.250652313E0
